feature,importance,fold
LIVINGAPARTMENTS_AVG,8086.435884475708,2
LIVINGAREA_AVG,12599.796201705933,2
NONLIVINGAPARTMENTS_AVG,3272.635009765625,2
NONLIVINGAREA_AVG,10943.289596557617,2
APARTMENTS_MODE,9610.505729675293,2
BASEMENTAREA_MODE,9017.632019042969,2
YEARS_BEGINEXPLUATATION_MODE,12231.82495880127,2
YEARS_BUILD_MODE,6589.634872436523,2
COMMONAREA_MODE,7344.950794219971,2
ELEVATORS_MODE,1895.2716846466064,2
ENTRANCES_MODE,3536.941484451294,2
FLOORSMAX_MODE,2484.533290863037,2
FLOORSMIN_MODE,1770.2320003509521,2
LANDAREA_MODE,11507.141103744507,2
LIVINGAPARTMENTS_MODE,6264.732191085815,2
LIVINGAREA_MODE,9621.931785583496,2
NONLIVINGAPARTMENTS_MODE,2136.477096557617,2
NONLIVINGAREA_MODE,9163.008110046387,2
APARTMENTS_MEDI,7043.626705169678,2
BASEMENTAREA_MEDI,6842.9022970199585,2
YEARS_BEGINEXPLUATATION_MEDI,10128.480654716492,2
YEARS_BUILD_MEDI,5055.500120162964,2
COMMONAREA_MEDI,5834.697589874268,2
ELEVATORS_MEDI,1444.3193969726562,2
ENTRANCES_MEDI,2800.4277954101562,2
FLOORSMAX_MEDI,3727.1870613098145,2
FLOORSMIN_MEDI,3215.9088172912598,2
LANDAREA_MEDI,6409.465591430664,2
LIVINGAPARTMENTS_MEDI,4288.504390716553,2
LIVINGAREA_MEDI,8008.380617141724,2
NONLIVINGAPARTMENTS_MEDI,3590.0904960632324,2
NONLIVINGAREA_MEDI,8759.670400619507,2
TOTALAREA_MODE,19375.075117111206,2
OBS_30_CNT_SOCIAL_CIRCLE,8361.757012367249,2
DEF_30_CNT_SOCIAL_CIRCLE,8480.471988677979,2
OBS_60_CNT_SOCIAL_CIRCLE,8673.073707580566,2
DEF_60_CNT_SOCIAL_CIRCLE,13609.349375724792,2
DAYS_LAST_PHONE_CHANGE,61947.774022102356,2
FLAG_DOCUMENT_2,0.0,2
FLAG_DOCUMENT_3,20145.132415771484,2
FLAG_DOCUMENT_4,0.0,2
FLAG_DOCUMENT_5,203.09130096435547,2
FLAG_DOCUMENT_6,1154.2510032653809,2
FLAG_DOCUMENT_7,0.0,2
FLAG_DOCUMENT_8,779.2402954101562,2
FLAG_DOCUMENT_9,0.0,2
FLAG_DOCUMENT_10,0.0,2
FLAG_DOCUMENT_11,2362.2587928771973,2
FLAG_DOCUMENT_12,0.0,2
FLAG_DOCUMENT_13,964.1062002182007,2
FLAG_DOCUMENT_14,743.9289016723633,2
FLAG_DOCUMENT_15,864.3436031341553,2
FLAG_DOCUMENT_16,3465.552225112915,2
FLAG_DOCUMENT_17,0.0,2
FLAG_DOCUMENT_18,3389.211100578308,2
FLAG_DOCUMENT_19,0.0,2
FLAG_DOCUMENT_20,0.0,2
FLAG_DOCUMENT_21,0.0,2
AMT_REQ_CREDIT_BUREAU_HOUR,178.55169677734375,2
AMT_REQ_CREDIT_BUREAU_DAY,327.22840118408203,2
AMT_REQ_CREDIT_BUREAU_WEEK,792.6957092285156,2
AMT_REQ_CREDIT_BUREAU_MON,3693.631395339966,2
AMT_REQ_CREDIT_BUREAU_QRT,9017.580015182495,2
AMT_REQ_CREDIT_BUREAU_YEAR,9933.045221328735,2
AMT_ANNUITY_NA,0.0,2
AMT_GOODS_PRICE_NA,0.0,2
AGE_YEARS,88408.61252307892,2
CREDIT_INCOME_RATIO,64272.81482505798,2
BUREAU_AMT_CREDIT_SUM_SUM,44685.76751232147,2
BUREAU_AMT_CREDIT_SUM_MEAN,45916.786901474,2
BUREAU_AMT_CREDIT_SUM_MAX,38867.32583999634,2
BUREAU_AMT_CREDIT_SUM_MIN,37365.029178619385,2
BUREAU_AMT_CREDIT_SUM_STD,38341.49907875061,2
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,36648.973041534424,2
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,57104.53476810455,2
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,21107.708568572998,2
BUREAU_AMT_CREDIT_SUM_DEBT_MIN,10911.366245269775,2
BUREAU_AMT_CREDIT_SUM_DEBT_STD,47149.92155647278,2
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,9117.732479095459,2
BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,13105.853914260864,2
BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,8561.003306388855,2
