feature,coef,fold
NAME_EDUCATION_TYPE_Academic_degree,-0.027660523764679874,1
NAME_EDUCATION_TYPE_Higher_education,-0.07878225969051379,1
NAME_EDUCATION_TYPE_Incomplete_higher,-0.010197191546576615,1
NAME_EDUCATION_TYPE_Lower_secondary,0.03168149827349556,1
NAME_EDUCATION_TYPE_Secondary__secondary_special,0.07229512584644075,1
NAME_EDUCATION_TYPE_nan,0.0,1
NAME_FAMILY_STATUS_Civil_marriage,0.027328781427311523,1
NAME_FAMILY_STATUS_Married,-0.04967300398732971,1
NAME_FAMILY_STATUS_Separated,0.025618155013824993,1
NAME_FAMILY_STATUS_Single__not_married,0.030450279573449486,1
NAME_FAMILY_STATUS_Unknown,-0.021405059879014567,1
NAME_FAMILY_STATUS_Widow,-0.005541424055660572,1
NAME_FAMILY_STATUS_nan,0.0,1
NAME_HOUSING_TYPE_Co-op_apartment,0.004153018253645722,1
NAME_HOUSING_TYPE_House__apartment,-0.009815533604466936,1
NAME_HOUSING_TYPE_Municipal_apartment,0.026457146089989596,1
NAME_HOUSING_TYPE_Office_apartment,-0.02477723438062653,1
NAME_HOUSING_TYPE_Rented_apartment,0.009510852625739244,1
NAME_HOUSING_TYPE_With_parents,-0.00469100138116363,1
NAME_HOUSING_TYPE_nan,0.0,1
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.00953404760133052,1
WEEKDAY_APPR_PROCESS_START_MONDAY,-0.019636863985463854,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,-0.01752528053526093,1
WEEKDAY_APPR_PROCESS_START_SUNDAY,-0.015217745043925156,1
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0048405778192017685,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.02016171353654681,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.008476744513670321,1
WEEKDAY_APPR_PROCESS_START_nan,0.0,1
FONDKAPREMONT_MODE_not_specified,0.0035205711979945224,1
FONDKAPREMONT_MODE_org_spec_account,-0.002296853610477141,1
FONDKAPREMONT_MODE_reg_oper_account,0.01270700435455591,1
FONDKAPREMONT_MODE_reg_oper_spec_account,-0.011015880963524086,1
FONDKAPREMONT_MODE_nan,-0.00743275465387869,1
HOUSETYPE_MODE_block_of_flats,0.005657875227334747,1
HOUSETYPE_MODE_specific_housing,0.011493040441287924,1
HOUSETYPE_MODE_terraced_house,-0.0005020747030449701,1
HOUSETYPE_MODE_nan,-0.00718445987299394,1
WALLSMATERIAL_MODE_Block,0.005804622225973209,1
WALLSMATERIAL_MODE_Mixed,0.009967102928008429,1
WALLSMATERIAL_MODE_Monolithic,-0.012099460061734346,1
WALLSMATERIAL_MODE_Others,0.013791836637828313,1
WALLSMATERIAL_MODE_Panel,-0.0036206267127215142,1
WALLSMATERIAL_MODE_Stone_brick,0.04096772484942427,1
WALLSMATERIAL_MODE_Wooden,0.0050252849339400794,1
WALLSMATERIAL_MODE_nan,-0.035591640857685305,1
EMERGENCYSTATE_MODE_No,-0.028107741323414256,1
EMERGENCYSTATE_MODE_Yes,-0.002256206345956482,1
EMERGENCYSTATE_MODE_nan,0.02851813491688817,1
OCCUPATION_TYPE_FE,-0.00926842410959045,1
ORGANIZATION_TYPE_FE,0.04277371947944967,1
CNT_CHILDREN,0.012207970033738826,2
AMT_INCOME_TOTAL,0.08745527145398152,2
AMT_CREDIT,0.8926155864959073,2
AMT_ANNUITY,0.09154996547320841,2
AMT_GOODS_PRICE,-0.9604587360646956,2
REGION_POPULATION_RELATIVE,0.03289194305811537,2
DAYS_BIRTH,0.04688098379724331,2
DAYS_EMPLOYED,0.07443275379705037,2
DAYS_REGISTRATION,0.026977415478717404,2
DAYS_ID_PUBLISH,0.04764404064572583,2
OWN_CAR_AGE,0.10133050795878826,2
FLAG_MOBIL,0.0118380959621461,2
FLAG_EMP_PHONE,-0.022664604296942295,2
FLAG_WORK_PHONE,0.0543306715014321,2
FLAG_CONT_MOBILE,-0.010261559002370904,2
FLAG_PHONE,-0.03087718241110329,2
FLAG_EMAIL,-0.019266406768386556,2
CNT_FAM_MEMBERS,-0.005756683809577995,2
REGION_RATING_CLIENT,-0.03069345306636408,2
REGION_RATING_CLIENT_W_CITY,0.10174290837795734,2
HOUR_APPR_PROCESS_START,-0.02322564161643185,2
REG_REGION_NOT_LIVE_REGION,-0.04155993018718352,2
REG_REGION_NOT_WORK_REGION,0.05685497835847212,2
LIVE_REGION_NOT_WORK_REGION,-0.060834790321328124,2
REG_CITY_NOT_LIVE_CITY,0.05622514756377097,2
REG_CITY_NOT_WORK_CITY,-0.02323681563933523,2
LIVE_CITY_NOT_WORK_CITY,0.018641405411987624,2
EXT_SOURCE_1,-0.07791189349274515,2
EXT_SOURCE_2,-0.3853292453896476,2
EXT_SOURCE_3,-0.3869954471958389,2
APARTMENTS_AVG,-0.00510296523014286,2
BASEMENTAREA_AVG,-0.0017902459900782275,2
YEARS_BEGINEXPLUATATION_AVG,0.08835661431245144,2
YEARS_BUILD_AVG,0.0021622545748138204,2
